Number of Objects,Time Taken (ms),CPU Usage (%),Memory Usage (MB)
1,42,1.11,4.48
5,61,-12.16,-5.92
10,96,-18.28,0.00
25,381,-18.17,0.00
50,483,-17.47,6.92
75,756,-9.17,-6.83
100,868,-16.55,-1.45
250,2176,-15.03,-13.72
500,3940,-13.40,-5.67
750,6244,-14.11,3.23
1000,8421,-13.95,20.97
2500,22301,-14.46,2.41
5000,44616,-14.17,15.48
7500,74648,-7.79,-27.63
10000,98309,-3.68,10.95
