Number of Objects,Time Taken (ms),CPU Usage (%),Memory Usage (MB)
1,6,0.46,-0.25
5,15,0.35,0.00
10,24,0.34,0.00
50,63,0.59,0.60
100,62,0.73,0.80
500,141,0.82,4.67
1000,148,1.47,-22.16
5000,565,2.64,-0.11
10000,1008,3.17,-18.15
50000,4217,3.99,25.56
