Number of Objects,Time Taken (ms),CPU Usage (%),Memory Usage (MB)
1,2,4.44,-0.97
5,4,0.03,0.00
10,7,-0.23,0.00
25,14,-2.39,0.00
50,23,-0.29,-20.59
75,27,2.30,-3.83
100,32,0.48,0.00
250,40,0.14,0.00
500,82,-0.61,0.00
750,127,-0.74,0.00
1000,185,-0.65,0.00
2500,521,-2.78,-42.58
5000,1493,-2.33,4.30
7500,3798,-3.07,3.31
10000,7547,-3.53,14.39
