Number of Objects,Time Taken (ms),CPU Usage (%),Memory Usage (MB)
1,14,6.11,0.00
5,2,-5.55,0.00
10,3,-5.13,0.00
25,6,-0.16,0.00
50,10,-21.55,0.00
75,13,3.92,0.00
100,12,4.35,0.00
250,34,-0.72,0.00
500,58,-12.73,0.00
750,80,0.05,0.00
1000,96,2.53,0.00
2500,244,-8.29,11.58
5000,467,-6.42,23.67
7500,728,-7.12,-17.88
10000,904,-7.02,-2.33
