Number of Objects,Time Taken (ms),CPU Usage (%),Memory Usage (MB)
1,7,0.36,0.00
5,7,0.26,-1.33
10,17,0.71,0.00
50,56,1.91,-1.00
100,77,0.81,0.00
500,227,1.51,10.00
1000,345,2.97,-31.40
5000,2093,1.72,20.04
10000,7807,1.10,-147.97
50000,207301,0.33,-34.70
