Number of Objects,Time Taken (ms),CPU Usage (%),Memory Usage (MB)
1,4,1.83,8152.32
5,7,0.74,8175.89
10,11,0.47,8176.91
50,52,1.32,8176.39
100,68,3.02,8174.61
500,147,2.19,8174.91
1000,237,4.89,8168.03
5000,1810,2.89,8164.33
10000,5847,0.22,8164.02
50000,163994,0.20,8163.69
