Number of Objects,Time Taken (ms),CPU Usage (%),Memory Usage (MB)
1,2,0.46,-1.33
5,5,2.72,0.00
10,32,0.43,-1.00
50,31,2.81,0.00
100,44,5.72,-1.00
500,130,1.24,2.67
1000,205,2.17,6.86
5000,1780,1.14,-60.17
10000,5764,0.80,-106.53
50000,184463,0.21,113.79
