Number of Objects,Time Taken (ms),CPU Usage (%),Memory Usage (MB)
1,13,0.62,0.25
5,9,0.09,0.00
10,22,0.72,-0.25
50,53,0.41,0.00
100,65,0.58,0.80
500,152,0.66,4.50
1000,133,1.68,12.17
5000,523,2.58,-6.49
10000,949,3.05,-6.21
50000,4012,3.98,32.20
